Reg,VIN,Auction type,Center,Hall Name,Auction Name,Title,Make,Model,CC,Start Date,Start Time,Derivative,Body Type,Mileage Warranted,Mileage,Year,Plate,CAP Clean,Grade,Mechanical Grade,Date Of Grading,Images,Inspection Report,Other Report,Other Report Name,lot Id,Lot,Colour,Non Runner,Fuel Type,Transmission,Doors,Former Keepers,V5 Status,V5,Service History Type,VAT Status,Service History Present,Vehicle Type,Equipment,Last Service,Last service mileage,Service history,No of services,Service through main dealers,Service Notes,Additional information,Keys,DVSA mileage,MOT Expiry Date,Declarations,Major Damage,Owned By Police,Used As Taxi,Reregistered,Change Of Registration,Modified Vehicle,Salvaged Vehicle,CAP Average,CAP New,CAP Retail,CAP Below,Vehicle base price when new,Total price when new,Description and prize
MA22 NOF,VF1RJA00968749155,Online Only,Bedford,,BCA OS Sale,RENAULT CLIO 1.0 TCE 90 R.S.LINE Hatchback,RENAULT,CLIO,1.0,2025-11-03,09:00:00,TCE 90 R.S.LINE,Hatchback,Yes,33494,2022,2022 (22 reg),10450,1,B,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021730, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021732, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021735, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021736, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021737, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021738, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021739, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021740, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021742, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643021747",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=MA22 NOF-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=MA22 NOF-GB,mechanicalreporturl,0,OSA001,BLUE,False,Petrol,Manual Transmission,5,1,True,Present,Maintenance Print,VAT Qualifying,True,Car,"Navigation System, Navigation HDD, Parking Sensor(s), Climate Control, Cloth Trim - Black, Half Leather Trim, Tyre Inflation Kit, Alloy Wheels, Privacy Glass, Individual Paintwork - Iron Blue",2025-10-28T00:00:00Z,33494,Maintenance Print,4,0,ERROR ON PRINT,"[{'cO2': '120 g/km', 'nox': '0.025 g/km'}, ['Key Condition - Damaged casing']]",2,27k 2025-04-14T10:02:27Z,2026-04-13T00:00:00Z,,False,False,False,False,False,False,False,"9,400","20,455","12,395","8,350",,,na
AF71 CMZ,VF3M4DGZUMS192422,Online Only,Bedford,,BCA OS Sale,PEUGEOT 3008 1.6 PHEV 225 ALLURE E-EAT8 Hatchback,PEUGEOT,3008,1.6,2025-11-03,09:00:00,PHEV 225 ALLURE E-EAT8,Hatchback,Yes,29130,2021,2021 (71 reg),14550,1,A,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773436, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773449, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773454, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773462, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773470, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773483, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773497, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773508, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773526, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644773556",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=AF71 CMZ-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=AF71 CMZ-GB,mechanicalreporturl,0,OSA002,GREY,False,Petrol/Electric,Automatic,5,1,True,Present,Service Book,VAT Qualifying,True,Car,"Charge Cable - Type 2, Navigation HDD, Navigation System, Parking Sensor(s), Climate Control, Leather/Cloth Trim - Black, 18"" Alloy Wheels, Tyre Inflation Kit, Privacy Glass, Metallic Paint - Nimbus Grey",2024-11-01T00:00:00Z,19523,Service Book,3,1,,"[{'cO2': '31 g/km', 'nox': '0.015 g/km'}, 'na']",2,"18k 2024-09-13T11:42:56Z, 27k 2025-08-29T08:37:55Z",2026-09-20T00:00:00Z,,False,False,False,False,False,False,False,"13,300","37,255","16,950","12,050",41540.0,42115.0,"Metallic paint 575, Nimbus Grey (Metallic) 0, TEP & Tissu 'Colyn' Mistral 0"
WA72 XWU,W1K5J8EB0PN325309,Online Only,Bedford,,BCA OS Sale,MERCEDES-BENZ CLA 180 1.3 AMG LINE PREMIUM+ NIGHT ED.DCT Coupe,MERCEDES-BENZ,CLA 180,1.3,2025-11-03,09:00:00,AMG LINE PREMIUM+ NIGHT ED.DCT,Coupe,Yes,11650,2022,2022 (72 reg),23950,1,A,2025-10-22T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142030, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142033, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142037, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142046, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142059, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142068, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142085, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142097, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142108, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643142123",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=WA72 XWU-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=WA72 XWU-GB,mechanicalreporturl,0,OSA003,WHITE,False,Petrol,Auto Clutch,4,1,True,Present,Service Print,VAT Qualifying,True,Car,"Navigation HDD, Leather Pack, Climate Control, Parking Sensor(s), Contrast Stitching - Black, Leather Trim, Tyre Inflation Kit, 19"" Alloy Wheels, Privacy Glass, Metallic Paint - White, Panoramic Roof",2025-09-23T00:00:00Z,11529,Service Print,3,0,,"[{'cO2': '146 g/km', 'nox': '0.030 g/km'}, 'na']",2,11k 2025-09-23T09:40:22Z,2026-09-22T00:00:00Z,,False,False,False,False,False,False,False,"22,650","38,185","26,500","21,300",,,na
BF72 GNN,TMAJE812SNJ116259,Online Only,Bedford,,BCA OS Sale,HYUNDAI TUCSON 1.6 T-GDI PHEV 4WD ULTIMATE StationWagon,HYUNDAI,TUCSON,1.6,2025-11-03,09:00:00,T-GDI PHEV 4WD ULTIMATE,StationWagon,Yes,67551,2022,2022 (72 reg),17850,2,A,2025-10-27T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537640, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537649, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537659, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537667, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537684, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537705, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537720, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537738, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537753, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644537772",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=BF72 GNN-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=BF72 GNN-GB,mechanicalreporturl,0,OSA004,BLACK,False,Petrol/Electric,Automatic,5,1,True,Present,Service Book,VAT Qualifying,True,Car,"Charge Cable - Type 2, Navigation HDD, Navigation System, Parking Sensor(s), Climate Control, Leather Trim - Moss Grey, 19"" Alloy Wheels, Tyre Inflation Kit, Pearlescent Paint - Phantom Black, Panoramic Roof",2025-10-17T00:00:00Z,67501,Service Book,5,2,,"[{'cO2': '31 g/km', 'nox': '0.004 g/km'}, 'na']",2,67k 2025-10-17T13:39:49Z,2026-10-31T00:00:00Z,,False,False,False,False,False,False,False,"16,500","42,325","20,250","15,150",,,na
RE21 WFB,WVGZZZA1ZMV140006,Online Only,Bedford,,BCA OS Sale,VOLKSWAGEN T-ROC 1.5 TSI EVO 150 R LINE DSG Hatchback,VOLKSWAGEN,T-ROC,1.5,2025-11-03,09:00:00,TSI EVO 150 R LINE DSG,Hatchback,Yes,14965,2021,2021 (21 reg),20100,3,A,2025-10-17T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641881934, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641881946, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641881960, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641881975, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641881994, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641882013, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641882035, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641882064, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641882080, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641882103",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=RE21 WFB-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=RE21 WFB-GB,mechanicalreporturl,0,OSA005,SILVER,False,Petrol,Auto Clutch,5,1,True,Present,Service Print,VAT Qualifying,True,Car,"Navigation HDD, Parking Sensor(s), Climate Control, Half Leather Trim, Cloth Trim - Black/Flint Carbon flag, Tyre Inflation Kit, 19"" Alloy Wheels, Metallic Paint - White SIlver, Privacy Glass",2024-04-23T00:00:00Z,9832,Service Print,1,1,,"[{'cO2': '154 g/km', 'nox': '0.024 g/km'}, 'na']",2,"9k 2024-04-23T08:56:14Z, 12k 2025-04-14T12:50:25Z",2026-04-29T00:00:00Z,,False,False,False,False,False,False,False,"18,700","30,260","22,500","17,350",35110.0,35110.0,na
HN71 FCP,TMBKB7NY9NF017975,Online Only,Bedford,,BCA OS Sale,SKODA ENYAQ 132KW 62KWH 60 LOFT Hatchback,SKODA,ENYAQ,0,2025-11-03,09:00:00,132KW 62KWH 60 LOFT,Hatchback,Yes,40119,2021,2021 (71 reg),13900,1,A,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525146, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525152, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525160, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525168, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525179, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525220, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525259, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525288, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525321, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644525345",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=HN71 FCP-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=HN71 FCP-GB,mechanicalreporturl,0,OSA006,BLUE,False,Electric,Automatic,5,1,True,Present,Digital Service,VAT Qualifying,True,Car,"Navigation HDD, Navigation System, Design Pack - Loft, Parking Sensor(s), Climate Control, Leather/Cloth Trim - Grey, Half Leather Trim, Solid Paint - Energy Blue",2025-10-13T00:00:00Z,39924,Digital Service,2,2,,"[{'cO2': None, 'nox': None}, 'na']",2,"33k 2024-10-04T11:42:15Z, 39k 2025-10-14T08:54:41Z",2026-10-20T00:00:00Z,,False,False,False,False,False,False,False,"12,650","34,440","16,295","11,400",,,na
NG73 VGK,VF1RJA00972068109,Online Only,Bedford,,BCA OS Sale,RENAULT CLIO 1.0 TCE 90 EVOLUTION Hatchback,RENAULT,CLIO,1.0,2025-11-03,09:00:00,TCE 90 EVOLUTION,Hatchback,Yes,20447,2023,2023 (73 reg),12050,4,A,2025-10-20T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988623, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988633, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988638, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988643, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988658, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988674, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988684, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988698, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988710, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642988725",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=NG73 VGK-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=NG73 VGK-GB,mechanicalreporturl,0,OSA007,BLACK,False,Petrol,Manual Transmission,5,3,True,Present,Maintenance Print,VAT Qualifying,True,Car,"Navigation HDD, Navigation System, Parking Sensor(s), Climate Control, Cloth Trim - Grey, Alloy Wheels, Metallic Paint - Diamond Black",2025-08-26T00:00:00Z,19576,Maintenance Print,1,0,,"[{'cO2': '118 g/km', 'nox': '0.025 g/km'}, 'na']",1,na,2026-12-30T00:00:00Z,,False,False,False,False,False,False,False,"11,000","17,530","14,095","9,925",,,na
FY70 MVW,SB1Z93BE30E141434,Online Only,Bedford,,BCA OS Sale,TOYOTA COROLLA T/S 1.8 VVT-I HYBRID ICON TECH Estate,TOYOTA,COROLLA T/S,1.8,2025-11-03,09:00:00,VVT-I HYBRID ICON TECH,Estate,Yes,19839,2020,2020 (70 reg),16000,3,A,2025-10-21T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711539, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711546, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711554, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711564, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711578, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711596, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711621, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711637, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711651, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642711666",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=FY70 MVW-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=FY70 MVW-GB,mechanicalreporturl,0,OSA008,BLUE,False,Petrol/Electric,CVT,5,1,True,Present,Service Book,VAT Qualifying,True,Car,"Navigation System, Navigation HDD, Parking Sensor(s), Climate Control, Cloth Trim - Black, Alloy Wheels, Space Saver Spare Wheel, Metallic Paint - Denim Blue, Privacy Glass",2025-05-21T00:00:00Z,18375,Service Book,2,2,,"[{'cO2': '103 g/km', 'nox': '0.003 g/km'}, 'na']",1,"13k 2023-11-27T09:56:12Z, 16k 2024-11-11T13:57:04Z",2025-11-26T00:00:00Z,,False,False,False,False,False,False,False,"14,800","26,305","18,195","13,650",,,na
CA72 BXG,VR3UPHNSSNT096662,Online Only,Bedford,,BCA OS Sale,PEUGEOT 208 1.2 P/T 130 GT EAT8 Hatchback,PEUGEOT,208,1.2,2025-11-03,09:00:00,P/T 130 GT EAT8,Hatchback,Yes,14572,2022,2022 (72 reg),14250,2,A,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486144, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486150, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486158, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486164, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486167, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486182, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486191, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486202, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486210, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645486219",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=CA72 BXG-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=CA72 BXG-GB,mechanicalreporturl,0,OSA009,BLACK,False,Petrol,Automatic,5,1,True,Present,Service Book,VAT Qualifying,True,Car,"Navigation System, Navigation HDD, Parking Sensor(s), Climate Control, Leather/Cloth Trim, Space Saver Spare Wheel, 17"" Alloy Wheels, Privacy Glass, Special Paint - Nera Black Met.",2025-10-01T00:00:00Z,13281,Service Book,2,0,,"[{'cO2': '122 g/km', 'nox': None}, 'na']",2,13k 2025-10-01T14:46:57Z,2026-09-30T00:00:00Z,,False,False,False,False,False,False,False,"13,150","25,895","16,250","12,000",,,na
LM21 KHP,W1K2130162A953689,Online Only,Bedford,,BCA OS Sale,MERCEDES-BENZ E300 DE EQ-P 2.0 AMG LINE 9G Saloon,MERCEDES-BENZ,E300 DE EQ-P,2.0,2025-11-03,09:00:00,AMG LINE 9G,Saloon,Yes,107025,2021,2021 (21 reg),16500,2,A,2025-10-28T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889522, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889530, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889539, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889546, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889560, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889575, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889591, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889607, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889632, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643889654",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=LM21 KHP-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=LM21 KHP-GB,mechanicalreporturl,0,OSA010,BLUE,False,Diesel/Electric,Auto/Manual Mode,4,1,True,Present,Service Print,VAT Qualifying,True,Car,"Charge Cable - 3 Pin, Charge Cable - Type 2, Navigation HDD, Climate Control, Parking Sensor(s), Leather Trim, Leather Trim - Black, 18"" Alloy Wheels, Tyre Inflation Kit, Metallic Paint - Canvasite Blue",2024-07-11T00:00:00Z,76591,Service Print,4,0,,"[{'cO2': '33 g/km', 'nox': '0.030 g/km'}, 'na']",1,"70k 2024-03-29T11:02:54Z, 91k 2025-02-22T16:04:51Z",2026-02-21T00:00:00Z,,False,False,False,False,False,False,False,"15,300","51,735","19,750","14,100",,,na
LS73 ENK,JMZKH0HB701138715,Online Only,Bedford,,BCA OS Sale,MAZDA CX-60 2.5 E-SKY PHEV AWD EXCLUSIVE LINE StationWagon,MAZDA,CX-60,2.5,2025-11-03,09:00:00,E-SKY PHEV AWD EXCLUSIVE LINE,StationWagon,Yes,17751,2023,2023 (73 reg),24050,1,A,2025-10-17T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930421, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930451, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930466, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930493, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930509, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930561, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930593, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930623, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930673, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=642930696",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=LS73 ENK-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=LS73 ENK-GB,mechanicalreporturl,0,OSA011,GREY,False,Petrol/Electric,Automatic,5,1,True,Present,Maintenance Print,VAT Qualifying,True,Car,"Charge Cable - 3 Pin, Charge Cable - Type 2, Navigation System, Navigation HDD, Climate Control, Parking Sensor(s), Leather Trim, Leather Trim - Black, 18"" Alloy Wheels, Metallic Paint - Machine Grey",2025-10-17T00:00:00Z,17751,Maintenance Print,1,0,,"[{'cO2': '33 g/km', 'nox': None}, 'na']",1,na,2026-09-29T00:00:00Z,,False,False,False,False,False,False,False,"22,700","45,365","27,250","21,300",,,na
YT71 XFM,WF0TR3SU0MMA28786,Online Only,Bedford,,BCA OS Sale,FORD MUSTANG MACH-E 258KW 88KWH AWD EXTENDED RANGE Hatchback,FORD,MUSTANG MACH-E,0,2025-11-03,09:00:00,258KW 88KWH AWD EXTENDED RANGE,Hatchback,Yes,40034,2021,2021 (71 reg),21050,2,A,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645552951, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645552977, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645552985, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645552996, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645553003, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645553026, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645553051, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645553096, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645553124, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645553144",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=YT71 XFM-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=YT71 XFM-GB,mechanicalreporturl,0,OSA012,GREY,False,Electric,Automatic,5,1,True,Present,Service Print,VAT Qualifying,True,Car,"Charge Cable - 3 Pin, Charge Cable - Type 2, Navigation System, Navigation HDD, Parking Sensor(s), Climate Control, Leather Trim, Leather/Cloth Trim - Black, Tyre Inflation Kit, 19"" Alloy Wheels, Exclusive Paint - Carbonised Grey, Panoramic Roof",2023-02-28T00:00:00Z,17384,Service Print,1,1,,"[{'cO2': None, 'nox': None}, 'na']",2,"31k 2024-09-27T08:28:50Z, 39k 2025-09-06T10:33:33Z",2026-09-29T00:00:00Z,,False,False,False,False,False,False,False,"19,650","56,975","23,500","18,300",,,na
