Reg,Bidding History,Bidding Status
P4 VDO,"['£450', '£425', '£400', '£300']",On Sale
P4 VDO,"['£475', '£450', '£425', '£400', '£300']",On Sale
CK03 JUT,['£300'],Reserve not met
CK03 JUT,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
CK03 JUT,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
CK03 JUT,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
CK03 JUT,"['£425', '£400', '£375', '£350', '£325', '£300']",On Sale
PN59 VXO,['£100'],Reserve not met
PN59 VXO,"['£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
PN59 VXO,"['£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
WL07 HHT,['£600'],Reserve not met
WL07 HHT,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
WL07 HHT,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
WL07 HHT,"['£725', '£700', '£675', '£650', '£625', '£600']",On Sale
WL07 HHT,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
SL10 LKG,['£600'],Reserve not met
SL10 LKG,"['£625', '£600']",Reserve not met
SL10 LKG,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
SL10 LKG,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
SL10 LKG,"['£725', '£700', '£675', '£650', '£625', '£600']",On Sale
GJ12 GBV,['£600'],Reserve not met
GJ12 GBV,"['£650', '£625', '£600']",Reserve not met
GJ12 GBV,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",Provisional
GJ12 GBV,"['£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
ET57 EWM,['£800'],Reserve not met
ET57 EWM,"['£900', '£800']",Reserve not met
ET57 EWM,"['£1,025', '£1,000', '£975', '£950', '£925', '£900', '£800']",On Sale
ET57 EWM,"['£1,100', '£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£800']",On Sale
ET57 EWM,['£400'],Reserve not met
DE14 YPT,"['£625', '£600', '£575', '£550', '£525', '£500', '£400']",Reserve not met
DE14 YPT,"['£625', '£600', '£575', '£550', '£525', '£500', '£400']",Reserve not met
DE14 YPT,"['£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
DE14 YPT,"['£650', '£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
SA11 UZV,['£200'],Reserve not met
SA11 UZV,"['£375', '£350', '£325', '£300', '£200']",Provisional
SA11 UZV,"['£375', '£350', '£325', '£300', '£200']",On Sale
PO12 XTD,['£500'],Reserve not met
PO12 XTD,"['£625', '£600', '£575', '£550', '£525', '£500']",Reserve not met
PO12 XTD,"['£625', '£600', '£575', '£550', '£525', '£500']",Reserve not met
PO12 XTD,"['£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
FN59 TZR,['£100'],Reserve not met
FN59 TZR,"['£150', '£125', '£100']",Reserve not met
FN59 TZR,"['£150', '£125', '£100']",Reserve not met
FN59 TZR,"['£175', '£150', '£125', '£100']",Reserve not met
FN59 TZR,"['£175', '£150', '£125', '£100']",On Sale
FN59 TZR,"['£175', '£150', '£125', '£100']",On Sale
FN59 TZR,"['£175', '£150', '£125', '£100']",On Sale
SJ60 YZL,['£300'],Reserve not met
SJ60 YZL,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
SJ60 YZL,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
SJ60 YZL,"['£425', '£400', '£375', '£350', '£325', '£300']",On Sale
PX57 FYY,['£600'],Reserve not met
PX57 FYY,"['£800', '£750', '£700', '£600']",Reserve not met
PX57 FYY,"['£850', '£825', '£800', '£750', '£700', '£600']",Provisional
PX57 FYY,"['£850', '£825', '£800', '£750', '£700', '£600']",On Sale
PX57 FYY,"['£850', '£825', '£800', '£750', '£700', '£600']",On Sale
GU63 VZW,['£300'],Reserve not met
GU63 VZW,"['£600', '£575', '£550', '£500', '£400', '£300']",On Sale
GU63 VZW,"['£625', '£600', '£575', '£550', '£500', '£400', '£300']",On Sale
GU63 VZW,"['£675', '£650', '£625', '£600', '£575', '£550', '£500', '£400', '£300']",On Sale
GU63 VZW,"['£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£500', '£400', '£300']",On Sale
HF64 OWJ,['£600'],Reserve not met
HF64 OWJ,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
HF64 OWJ,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
HF64 OWJ,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
HF64 OWJ,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
HF64 OWJ,['£100'],Reserve not met
YT10 YJD,"['£350', '£325', '£300', '£200', '£100']",Reserve not met
YT10 YJD,"['£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200', '£100']",Reserve not met
YT10 YJD,"['£450', '£425', '£400', '£375', '£350', '£325', '£300', '£200', '£100']",On Sale
MV60 PNZ,['£700'],Reserve not met
MV60 PNZ,"['£750', '£725', '£700']",Provisional
MV60 PNZ,"['£750', '£725', '£700']",On Sale
MV60 PNZ,"['£800', '£775', '£750', '£725', '£700']",On Sale
MV60 PNZ,"['£850', '£825', '£800', '£775', '£750', '£725', '£700']",On Sale
MV60 PNZ,"['£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700']",On Sale
MV60 PNZ,"['£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700']",On Sale
MV60 PNZ,"['£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700']",On Sale
WL05 GEK,"['£300', '£200']",Reserve not met
WL05 GEK,"['£425', '£400', '£300', '£200']",Reserve not met
WL05 GEK,"['£425', '£400', '£300', '£200']",Reserve not met
WL05 GEK,"['£425', '£400', '£300', '£200']",Reserve not met
WL05 GEK,"['£450', '£425', '£400', '£300', '£200']",Reserve not met
WL05 GEK,"['£450', '£425', '£400', '£300', '£200']",On Sale
SH60 YJT,['£700'],Reserve not met
SH60 YJT,"['£825', '£800', '£775', '£750', '£700']",Provisional
SH60 YJT,"['£900', '£875', '£850', '£825', '£800', '£775', '£750', '£700']",On Sale
SH60 YJT,"['£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£700']",On Sale
SH60 YJT,"['£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£700']",On Sale
SH60 YJT,"['£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£700']",On Sale
SH60 YJT,"['£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£700']",On Sale
SO09 EPX,['£500'],Reserve not met
SO09 EPX,"['£750', '£725', '£700', '£600', '£500']",Provisional
SO09 EPX,"['£750', '£725', '£700', '£600', '£500']",Provisional
SO09 EPX,"['£750', '£725', '£700', '£600', '£500']",On Sale
NJZ 8610,['£200'],Reserve not met
NJZ 8610,"['£300', '£275', '£250', '£225', '£200']",Reserve not met
NJZ 8610,"['£325', '£300', '£275', '£250', '£225', '£200']",Reserve not met
NJZ 8610,"['£350', '£325', '£300', '£275', '£250', '£225', '£200']",On Sale
NJZ 8610,"['£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200']",On Sale
NJZ 8610,"['£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200']",On Sale
VA12 EVX,"['£300', '£200']",Reserve not met
VA12 EVX,"['£500', '£450', '£400', '£300', '£200']",Reserve not met
VA12 EVX,"['£550', '£525', '£500', '£450', '£400', '£300', '£200']",Provisional
VA12 EVX,"['£600', '£575', '£550', '£525', '£500', '£450', '£400', '£300', '£200']",On Sale
VA12 EVX,"['£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£450', '£400', '£300', '£200']",On Sale
VA12 EVX,"['£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£450', '£400', '£300', '£200']",On Sale
PJ08 GEK,['£700'],Reserve not met
PJ08 GEK,"['£900', '£800', '£700']",On Sale
MT58 OBF,['£500'],Reserve not met
MT58 OBF,"['£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
MT58 OBF,"['£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
MT58 OBF,"['£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
LN57 OWR,['£200'],Reserve not met
LN57 OWR,"['£375', '£350', '£325', '£300', '£200']",Provisional
LN57 OWR,"['£400', '£375', '£350', '£325', '£300', '£200']",On Sale
SJ04 GZW,['£800'],Reserve not met
SJ04 GZW,"['£925', '£900', '£800']",Provisional
SJ04 GZW,"['£975', '£950', '£925', '£900', '£800']",Provisional
SJ04 GZW,"['£975', '£950', '£925', '£900', '£800']",On Sale
SJ04 GZW,"['£1,000', '£975', '£950', '£925', '£900', '£800']",On Sale
SK63 VCZ,['£600'],Reserve not met
SK63 VCZ,"['£1,000', '£900', '£800', '£700', '£600']",On Sale
ST61 DZO,['£800'],Reserve not met
ST61 DZO,"['£925', '£900', '£875', '£850', '£825', '£800']",Provisional
ST61 DZO,"['£950', '£925', '£900', '£875', '£850', '£825', '£800']",Provisional
ST61 DZO,"['£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800']",On Sale
ST61 DZO,"['£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800']",On Sale
KS10 RUY,['£800'],Reserve not met
KS10 RUY,"['£950', '£925', '£900', '£875', '£850', '£825', '£800']",Provisional
KS10 RUY,"['£950', '£925', '£900', '£875', '£850', '£825', '£800']",On Sale
KS10 RUY,"['£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800']",On Sale
NU12 WDD,['£600'],Reserve not met
NU12 WDD,"['£825', '£800', '£700', '£600']",Provisional
NU12 WDD,"['£850', '£825', '£800', '£700', '£600']",On Sale
NU12 WDD,"['£900', '£875', '£850', '£825', '£800', '£700', '£600']",On Sale
NU12 WDD,"['£925', '£900', '£875', '£850', '£825', '£800', '£700', '£600']",On Sale
NU12 WDD,"['£950', '£925', '£900', '£875', '£850', '£825', '£800', '£700', '£600']",On Sale
SH08 HCL,"['£400', '£300']",On Sale
SH08 HCL,"['£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
SH08 HCL,"['£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
SH08 HCL,"['£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
SH08 HCL,"['£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
SH08 HCL,"['£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
NV57 XOS,['£300'],Reserve not met
NV57 XOS,"['£500', '£475', '£450', '£425', '£400', '£300']",Reserve not met
NV57 XOS,"['£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",Provisional
NV57 XOS,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",Provisional
NV57 XOS,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400', '£300']",On Sale
RY52 WHF,['£25'],Reserve not met
RY52 WHF,['£25'],Reserve not met
RY52 WHF,"['£125', '£100', '£75', '£50', '£25']",Reserve not met
RY52 WHF,"['£125', '£100', '£75', '£50', '£25']",Reserve not met
RY52 WHF,"['£125', '£100', '£75', '£50', '£25']",Reserve not met
RY52 WHF,"['£150', '£125', '£100', '£75', '£50', '£25']",On Sale
RY52 WHF,"['£150', '£125', '£100', '£75', '£50', '£25']",On Sale
RY52 WHF,"['£150', '£125', '£100', '£75', '£50', '£25']",On Sale
YX56 PNV,['£700'],Reserve not met
YX56 PNV,"['£825', '£800', '£775', '£750', '£725', '£700']",Provisional
YX56 PNV,"['£850', '£825', '£800', '£775', '£750', '£725', '£700']",On Sale
YX56 PNV,"['£850', '£825', '£800', '£775', '£750', '£725', '£700']",On Sale
YX56 PNV,"['£850', '£825', '£800', '£775', '£750', '£725', '£700']",On Sale
YX56 PNV,"['£850', '£825', '£800', '£775', '£750', '£725', '£700']",On Sale
FD54 CPN,['£700'],Reserve not met
FD54 CPN,"['£825', '£800', '£775', '£750', '£725', '£700']",Provisional
FD54 CPN,"['£825', '£800', '£775', '£750', '£725', '£700']",Provisional
FD54 CPN,"['£825', '£800', '£775', '£750', '£725', '£700']",Provisional
FD54 CPN,"['£825', '£800', '£775', '£750', '£725', '£700']",On Sale
FD54 CPN,"['£825', '£800', '£775', '£750', '£725', '£700']",On Sale
FH61 BXE,"['£300', '£200']",Reserve not met
FH61 BXE,"['£425', '£400', '£300', '£200']",Reserve not met
FH61 BXE,"['£450', '£425', '£400', '£300', '£200']",On Sale
FH61 BXE,"['£450', '£425', '£400', '£300', '£200']",On Sale
FL14 WLA,['£600'],Reserve not met
FL14 WLA,"['£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",Provisional
FL14 WLA,"['£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
FL14 WLA,"['£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
FL14 WLA,"['£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
FL14 WLA,"['£1,100', '£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
FL14 WLA,"['£1,125', '£1,100', '£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
MV56 HUA,['£400'],Reserve not met
MV56 HUA,"['£525', '£500', '£400']",Reserve not met
MV56 HUA,"['£525', '£500', '£400']",Reserve not met
MV56 HUA,"['£550', '£525', '£500', '£400']",On Sale
MV56 HUA,"['£550', '£525', '£500', '£400']",On Sale
MV56 HUA,"['£575', '£550', '£525', '£500', '£400']",On Sale
YP09 YOE,"['£400', '£300']",Reserve not met
YP09 YOE,"['£450', '£425', '£400', '£300']",Reserve not met
YP09 YOE,"['£450', '£425', '£400', '£300']",On Sale
YP09 YOE,"['£475', '£450', '£425', '£400', '£300']",On Sale
YP09 YOE,"['£500', '£475', '£450', '£425', '£400', '£300']",On Sale
YA08 GMV,['£100'],Reserve not met
YA08 GMV,"['£200', '£175', '£150', '£100']",Reserve not met
YA08 GMV,"['£200', '£175', '£150', '£100']",On Sale
GF60 ZHG,['£500'],Reserve not met
GF60 ZHG,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
GF60 ZHG,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
LS10 YRF,['£100'],Reserve not met
LS10 YRF,"['£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
LS10 YRF,"['£225', '£200', '£175', '£150', '£125', '£100']",On Sale
EA09 KJV,['£800'],Reserve not met
EA09 KJV,"['£925', '£900', '£875', '£850', '£825', '£800']",Provisional
EA09 KJV,"['£950', '£925', '£900', '£875', '£850', '£825', '£800']",Provisional
EA09 KJV,"['£950', '£925', '£900', '£875', '£850', '£825', '£800']",On Sale
WLZ 1129,['£300'],Reserve not met
WLZ 1129,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
WLZ 1129,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
VN08 ZKZ,['£400'],Reserve not met
VN08 ZKZ,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
VN08 ZKZ,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
VN08 ZKZ,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
VN08 ZKZ,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
VN08 ZKZ,"['£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
AO60 UKP,['£100'],Reserve not met
AO60 UKP,"['£225', '£200', '£100']",Reserve not met
AO60 UKP,"['£250', '£225', '£200', '£100']",Reserve not met
AO60 UKP,"['£250', '£225', '£200', '£100']",On Sale
FL07 BJV,['£400'],Reserve not met
FL07 BJV,"['£900', '£850', '£800', '£700', '£600', '£500', '£400']",On Sale
FL07 BJV,"['£950', '£900', '£850', '£800', '£700', '£600', '£500', '£400']",On Sale
FL07 BJV,"['£1,000', '£975', '£950', '£900', '£850', '£800', '£700', '£600', '£500', '£400']",On Sale
FL07 BJV,"['£1,050', '£1,025', '£1,000', '£975', '£950', '£900', '£850', '£800', '£700', '£600', '£500', '£400']",On Sale
GV08 ORO,['£500'],Reserve not met
GV08 ORO,"['£600', '£575', '£550', '£525', '£500']",On Sale
GV08 ORO,"['£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
GV08 ORO,"['£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
YH10 WMT,['£600'],Reserve not met
YH10 WMT,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
YH10 WMT,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
YH10 WMT,"['£725', '£700', '£675', '£650', '£625', '£600']",On Sale
YH10 WMT,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
YH10 WMT,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
SO08 FHT,['£300'],Reserve not met
SO08 FHT,"['£375', '£350', '£325', '£300']",Reserve not met
SO08 FHT,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
SO08 FHT,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
BG09 LLX,['£600'],Reserve not met
BG09 LLX,"['£700', '£675', '£650']",Reserve not met
BG09 LLX,"['£750', '£725', '£700', '£675', '£650', '£600']",Provisional
BG09 LLX,"['£750', '£725', '£700', '£675', '£650', '£600']",On Sale
BG09 LLX,"['£750', '£725', '£700', '£675', '£650', '£600']",On Sale
LS09 OYP,"['£300', '£200']",Reserve not met
LS09 OYP,"['£400', '£300', '£200']",On Sale
LS09 OYP,"['£425', '£400', '£300', '£200']",On Sale
LS09 OYP,"['£450', '£425', '£400', '£300', '£200']",On Sale
MW54 KLK,"['£200', '£100']",Reserve not met
MW54 KLK,"['£250', '£225', '£200', '£100']",Reserve not met
MW54 KLK,"['£275', '£250', '£225', '£200', '£100']",On Sale
MA61 XLT,['£100'],Reserve not met
MA61 XLT,"['£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
MA61 XLT,"['£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
MA61 XLT,"['£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
AO59 VOC,"['£1,300']",Reserve not met
AO59 VOC,"['£1,375', '£1,350', '£1,325', '£1,300']",Provisional
AO59 VOC,"['£1,425', '£1,400', '£1,375', '£1,350', '£1,325', '£1,300']",Provisional
AO59 VOC,"['£1,450', '£1,425', '£1,400', '£1,375', '£1,350', '£1,325', '£1,300']",On Sale
AO59 VOC,"['£1,475', '£1,450', '£1,425', '£1,400', '£1,375', '£1,350', '£1,325', '£1,300']",On Sale
LO11 DWJ,['£100'],Reserve not met
LO11 DWJ,"['£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
LO11 DWJ,"['£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
LO11 DWJ,"['£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
LO11 DWJ,"['£450', '£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
LO11 DWJ,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
ST09 AFJ,['£100'],Reserve not met
ST09 AFJ,"['£175', '£150', '£125', '£100']",Reserve not met
ST09 AFJ,"['£175', '£150', '£125', '£100']",Reserve not met
ST09 AFJ,"['£175', '£150', '£125', '£100']",Reserve not met
ST09 AFJ,"['£175', '£150', '£125', '£100']",On Sale
ST09 AFJ,"['£175', '£150', '£125', '£100']",On Sale
PE09 UGT,['£400'],Reserve not met
PE09 UGT,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
PE09 UGT,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
PE09 UGT,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
PE09 UGT,"['£525', '£500', '£475', '£450', '£425', '£400']",On Sale
PE09 UGT,"['£525', '£500', '£475', '£450', '£425', '£400']",On Sale
YG61 LXT,"['£1,100']",Reserve not met
YG61 LXT,"['£1,275', '£1,250', '£1,225', '£1,200', '£1,175', '£1,150', '£1,125', '£1,100']",Provisional
YG61 LXT,"['£1,325', '£1,300', '£1,275', '£1,250', '£1,225', '£1,200', '£1,175', '£1,150', '£1,125', '£1,100']",On Sale
YG61 LXT,"['£1,375', '£1,350', '£1,325', '£1,300', '£1,275', '£1,250', '£1,225', '£1,200', '£1,175', '£1,150', '£1,125', '£1,100']",On Sale
PK12 EDC,['£300'],Reserve not met
PK12 EDC,"['£550', '£525', '£500', '£400', '£300']",Provisional
PK12 EDC,"['£550', '£525', '£500', '£400', '£300']",Provisional
PK12 EDC,"['£550', '£525', '£500', '£400', '£300']",On Sale
PK12 EDC,"['£575', '£550', '£525', '£500', '£400', '£300']",On Sale
CJ53 WMX,['£100'],Reserve not met
CJ53 WMX,"['£175', '£150', '£125', '£100']",Reserve not met
CJ53 WMX,"['£200', '£175', '£150', '£125', '£100']",Reserve not met
CJ53 WMX,"['£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
CJ53 WMX,"['£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
AP57 JBV,['£300'],Reserve not met
AP57 JBV,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
AP57 JBV,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
AP57 JBV,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
AV09 BPX,['£100'],Reserve not met
AV09 BPX,"['£175', '£150', '£125', '£100']",Reserve not met
AV09 BPX,"['£200', '£175', '£150', '£125', '£100']",On Sale
AV09 BPX,"['£200', '£175', '£150', '£125', '£100']",On Sale
VN63 BLV,"['£1,000']",Reserve not met
VN63 BLV,"['£1,150', '£1,125', '£1,100', '£1,000']",Provisional
VN63 BLV,"['£1,175', '£1,150', '£1,125', '£1,100', '£1,000']",Provisional
VN63 BLV,"['£1,175', '£1,150', '£1,125', '£1,100', '£1,000']",On Sale
DN60 VNL,"['£200', '£100']",Reserve not met
DN60 VNL,"['£375', '£350', '£325', '£300', '£200', '£100']",On Sale
YF60 LJE,['£400'],Reserve not met
YF60 LJE,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
YF60 LJE,"['£525', '£500', '£475', '£450', '£425', '£400']",On Sale
YF60 LJE,"['£525', '£500', '£475', '£450', '£425', '£400']",On Sale
YF60 LJE,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
YS08 NUW,['£300'],Reserve not met
YS08 NUW,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",Provisional
YS08 NUW,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
EN61 UKD,['£200'],Reserve not met
EN61 UKD,"['£350', '£325', '£300', '£250', '£200']",Reserve not met
EN61 UKD,"['£350', '£325', '£300', '£250', '£200']",On Sale
EN61 UKD,"['£375', '£350', '£325', '£300', '£250', '£200']",On Sale
BV59 RZB,['£400'],Reserve not met
BV59 RZB,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
BV59 RZB,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",Provisional
BV59 RZB,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",Provisional
BV59 RZB,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
YP09 XCU,['£400'],Reserve not met
YP09 XCU,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",Provisional
YP09 XCU,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
YP09 XCU,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
LC61 UON,['£200'],Reserve not met
LC61 UON,"['£350', '£300', '£250', '£200']",Reserve not met
LC61 UON,"['£350', '£300', '£250', '£200']",On Sale
LC61 UON,"['£375', '£350', '£300', '£250', '£200']",On Sale
